,Katterjokk,Låkta,Heliport,Kursflaket,Mellanflaket,Storflaket,Torneträsk,Narkevaere,Bergfors
,,,,,,,,,
Lat,68º25’31’’N,68º25’35’’N,68º21’52’’N,68º21’05’’N,68º20’53’’N,68º20’51’’N ,68º13’32’’N,68º11’52’’N,68º08’44’’N
Long,18º10’29’’E,18º20’00’’E,18º47’44’’E,18º52’42’’E,18º57’51’’E,18º57’55’’E,19º43’24’’E,19º45’57’’E,19º45’46’’E
Year,ALT (m),ALT (m),ALT (m),ALT (m),ALT (m),ALT (m),ALT (m),ALT (m),ALT (m)
1978,0.49,0.51,0.44,0.42,0.45,0.56,0.48,nan,nan
1979,0.55,0.61,0.50,0.50,0.51,0.54,0.54,nan,nan
1980,0.62,0.69,0.58,0.58,0.55,0.64,0.60,nan,nan
1981,0.58,0.53,0.50,0.47,0.48,0.49,0.53,nan,nan
1982,0.49,0.55,0.47,0.45,0.47,0.47,0.53,nan,nan
1983,0.57,0.51,0.49,0.45,0.47,0.49,0.49,nan,nan
1984,0.53,0.53,0.51,0.47,0.48,0.51,0.53,0.62,nan
1985,0.63,0.60,0.51,0.52,0.50,0.55,0.61,0.64,nan
1986,0.58,0.51,0.52,0.52,0.50,0.56,0.54,0.63,nan
1987,0.55,0.53,0.49,0.48,0.48,0.50,0.53,0.60,nan
1988,0.57,0.66,0.53,0.55,0.54,0.58,0.60,0.64,0.62
1989,0.52,0.55,0.50,0.47,0.49,0.54,0.52,0.63,0.62
1990,0.65,0.65,0.55,0.59,0.54,0.62,0.58,0.64,0.64
1991,0.55,0.65,0.53,0.54,0.52,0.59,0.55,0.63,0.63
1992,0.61,0.63,0.52,0.50,0.50,0.54,0.54,0.62,0.61
1993,0.63,0.55,0.50,0.51,0.51,0.52,0.52,0.59,0.60
1994,0.54,0.64,0.51,0.52,0.49,0.56,0.55,0.58,0.57
1995,0.51,0.49,0.47,0.48,0.48,0.50,0.53,0.59,0.59
1996,0.57,0.67,0.54,0.56,0.54,0.63,0.57,0.59,0.62
1997,0.66,0.68,0.60,0.67,0.66,0.68,0.62,0.67,0.68
1998,0.75,0.77,0.70,0.71,0.75,0.62,0.73,0.76,0.75
1999,0.62,0.60,0.61,0.66,0.55,0.63,0.62,0.64,0.67
2000,0.76,0.75,0.71,0.73,0.76,0.60,0.74,0.76,0.76
2001,0.78,0.78,0.73,0.72,0.73,0.68,0.76,0.78,0.78
2002,0.82,0.84,0.82,0.77,0.81,0.81,0.83,0.82,0.82
2003,0.80,0.82,0.74,0.76,0.75,0.74,0.78,0.75,nan
2004,0.85,nan,0.76,0.71,0.69,0.72,0.73,0.77,0.80
2005,0.83,nan,0.63,0.62,nan,0.64,0.67,0.67,0.78
2006,0.85,nan,0.70,0.64,nan,0.66,0.74,0.71,0.82
2007,0.89,nan,0.72,0.67,0.77,0.66,0.69,0.74,nan
2008,0.81,nan,0.73,0.70,0.73,0.69,0.64,0.66,nan
2009,0.82,nan,0.76,0.69,0.71,0.66,0.55,0.68,nan
2010,0.80,nan,0.77,0.67,0.76,0.66,0.5,0.65,nan
2011,nan,nan,0.78,0.69,0.70,0.68,0.64,0.67,nan
2012,nan,nan,0.73,0.66,0.67,0.69,0.62,0.68,nan
2013,nan,nan,0.73,0.69,0.79,0.74,0.8,0.7,nan
2014,nan,nan,0.85,0.72,0.81,0.75,1.1,0.81,nan
2015,nan,nan,0.87,0.76,0.84,0.76,1.22,0.83,nan
2016,nan,nan,0.89,0.76,0.85,0.77,1.32,0.85,nan
2017,nan,nan,0.91,0.73,nan,0.73,1.42,0.97,nan
2018,nan,nan,0.90,0.74,0.85,0.71,1.46,1.01,nan
2019,nan,nan,0.92,0.65,0.86,0.76,1.5,0.96,nan
2020,nan,nan,1.02,0.68,0.86,0.81,1.5,0.95,nan